Product_name,Prices,Description,Reviews
DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,"₹41,990","AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMy Dell (Dell Power Manager,Dell Support Assist)1 Year Onsite Warranty",4.2
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0154AU Thin and Ligh...,"₹29,990",AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ323WS Thin...,"₹35,990",Intel Core i3 Processor (13th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.5
SAMSUNG Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,"₹51,990",Intel Core i5 Processor (13th Gen)16 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,4.2
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ527WS|X150...,"₹40,990",Intel Core i5 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2
Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) 82XD003MIN Thin and ...,"₹66,490",Intel Core i5 Processor (13th Gen)16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 inch) Display1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection,3.8
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹14,990",Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Home Operating System128 GB SSD29.46 cm (11.6 inch) Display1 Year Warranty,4.4
ASUS Expertbook P1 Intel Core i7 13th Gen 13620H - (32 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60940W...,"₹68,990","Intel Core i7 Processor (13th Gen)32 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home 2024, Microsoft 365 Basic1 Year Onsite Warranty",4.2
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ321WS Th...,"₹28,990",AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ320WS Thin...,"₹34,990",Intel Core i3 Processor (13th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite warranty,4.2
MSI Intel Core i7 14th Gen 14700HX - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX ...,"₹1,61,990",Intel Core i7 Processor (14th Gen)32 GB DDR5 RAMWindows 11 Operating System1 TB SSD40.64 cm (16 Inch) Display2 Year Carry-in Warranty,3.8
HP 15s Backlit Keyboard AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0026AU Th...,"₹29,990",AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.4
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹17,990",Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Home Operating System512 GB SSD29.46 cm (11.6 inch) Display1 Year Warranty,4.2
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,"₹40,990",Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Carry-in Warranty,4.2
MOTOROLA Motobook 60 Full Metal Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Windows 11 Home) 14IR...,"₹62,990",Intel Core 5 (Series 2) Processor16 GB DDR5 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) DisplayOffice Home 20241 Year Onsite Warranty,4.4
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ549WS Thi...,"₹45,990",Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.4
HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,"₹69,990",Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) DisplayWindows 11 and Microsoft Office Home & Student Edition 20241 Year Carry-in Warranty,4.2
HP Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0574TU Thin and Light Laptop,"₹36,990",Intel Core i3 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMS Office Home 2024 + MISC PC Game Pass DA 3M1 Year Onsite Warranty,4.4
MOTOROLA Motobook 60 Full Metal Intel Core 7 (Series 2) 240H - (16 GB/1 TB SSD/Windows 11 Home) 14IRH1...,"₹73,990",Intel Core 7 (Series 2) Processor16 GB DDR5 RAM64 bit Windows 11 Operating System1 TB SSD35.56 cm (14 Inch) DisplayOffice Home 20241 Year Onsite Warranty,3.7
